OBJECTID_1,FIRE_NO,VERSION_NO,FIRE_YEAR,FIRE_CAUSE,FIRELABEL,SIZE_HA,TRACK_DATE,LOAD_DATE,FIRE_DATE,METHOD,FCODE,SHAPE_1,OBJECTID,AREA_SQM,FEAT_LEN,Shape__Area,Shape__Length,OBJECTID_1 1,SHAPE_1 1,Shape__Area 1,Shape__Length 1,Year,Month,Near AveTemp,Near MaxTemp,Near MinTemp,NearDist Temp,Near totalPrecip,Near HighPrecipDays,NearDist Precip,Interpolate Temp aveMax,Interpolate Temp aveMin,Interpolate Precip aveMax,Interpolate Precip aveMin,Interpolate AveTemp,Interpolate AvePrecip
144,V90616,2017071201.00000000,2017,Person,2017-V90616,8.80000000,20170712,20170724,20170704,Unknown,JA70003000,0.00000000,1373718.00000000,88222.70760000,1391.70410000,217472.13281250,2185.11866862,21539,0,217472.13280000,2185.11866900,2017,July,13.60000000,21.20000000,5.30000000,31.84398289,20.20000000,5,31.84398289,14.96469454,13.23475030,44.20290253,23.64313695,14.09972242,33.92301974
145,N51218,2017100501.00000000,2017,Lightning,2017-N51218,9.10000000,20171005,20171010,20170720,Non-corrected ground GPS,JA70003000,0.00000000,1373798.00000000,91912.81050000,1424.38250000,217824.26562500,2192.80667762,21329,0,217824.26560000,2192.80667800,2017,July,23.80000000,36.00000000,13.00000000,25.95022313,0.60000000,0,25.95022313,22.56524970,20.83530546,6.62470948,3.42045875,21.70027758,5.022584115
146,C50043,2017042101.00000000,2017,Person,2017-C50043,7.40000000,20170421,20170424,20170421,Non-corrected ground GPS,JA70003000,0.00000000,1373988.00000000,74868.93410000,1359.20200000,197111.88281250,2205.24413650,21130,0,197111.88280000,2205.24413700,2017,April,10.10000000,21.30000000,-0.40000000,8.81352476,12.50000000,2,8.81352476,4.38314936,1.48189359,41.85227950,33.41752529,2.93252147,37.634902395
147,N12247,2017100801.00000000,2017,Person,2017-N12247,6.30000000,20171008,20171010,20171006,Non-corrected ground GPS,JA70003000,0.00000000,1373830.00000000,63158.53970000,1485.29050000,150287.46093750,2290.58748986,21386,0,150287.46090000,2290.58749000,2017,October,4.30000000,16.70000000,-8.10000000,68.40485174,49.00000000,5,68.40485174,6.42350234,4.95090054,50.94761922,30.98606912,5.68720144,40.96684417
148,R40044,2017042201.00000000,2017,Person,2017-R40044,3.10000000,20170422,20170504,20170422,Non-corrected ground GPS,JA70003000,0.00000000,1373756.00000000,31613.83630000,1305.76510000,97891.63281250,2297.69087882,21465,0,97891.63281000,2297.69087900,2017,April,3.10000000,13.50000000,-6.00000000,30.10772047,31.20000000,8,30.10772047,6.14339035,4.38314936,33.41752529,20.32435988,5.26326985,26.870942585
149,G11108,2017083101.00000000,2017,Lightning,2017-G11108,10.20000000,20170907,20170907,20170715,Ozi,JA70003000,0.00000000,1373966.00000000,102164.46630000,1371.17890000,287543.82031250,2300.32429322,21043,0,287543.82030000,2300.32429300,2017,July,16.40000000,30.00000000,2.00000000,33.30885777,26.80000000,7,33.30885777,16.24650489,14.96469454,44.20290253,23.64313695,15.60559971,33.92301974
150,K30957,2017100501.00000000,2017,Lightning,2017-K30957,6.00000000,20171005,20171005,20170708,Hand sketch of any type,JA70003000,0.00000000,1373886.00000000,60219.15430000,1441.64120000,155881.17187500,2319.37480798,21002,0,155881.17190000,2319.37480800,2017,July,19.90000000,38.00000000,4.00000000,36.22709702,21.00000000,5,36.22709702,19.55349511,18.60373169,23.64313695,12.57891354,19.0786134,18.111025245
151,G80064,2017042901.00000000,2017,Person,2017-G80064,3.00000000,20170429,20171023,20170429,Non-corrected ground GPS,JA70003000,0.00000000,1373933.00000000,30139.16650000,1317.90150000,97225.87500000,2366.31979524,21210,0,97225.87500000,2366.31979500,2017,April,4.30000000,15.00000000,-5.50000000,56.02530278,31.80000000,11,56.02530278,4.38314936,1.48189359,54.94544490,41.85227950,2.93252147,48.3988622
152,R40047,2017042701.00000000,2017,Person,2017-R40047,6.20000000,20170427,20170922,20170423,Hand sketch of any type,JA70003000,0.00000000,1373754.00000000,62575.58170000,1358.34070000,192150.17187500,2380.91615662,21445,0,192150.17190000,2380.91615700,2017,April,4.30000000,15.00000000,-5.50000000,33.94178162,31.80000000,11,33.94178162,6.14339035,4.38314936,33.41752529,20.32435988,5.26326985,26.870942585
153,K10668,2017082301.00000000,2017,Lightning,2017-K10668,10.80000000,20170823,20171018,20170701,Non-corrected ground GPS,JA70003000,0.00000000,1373911.00000000,108883.47690000,1493.20260000,279076.74218750,2390.50548441,21111,0,279076.74220000,2390.50548400,2017,July,19.70000000,37.00000000,4.00000000,34.13414502,15.00000000,1,34.13414502,20.83530546,19.55349511,23.64313695,12.57891354,20.19440028,18.111025245
